20251022 08:00:00,4.79,5.36,4.53,4.8675,0,0,2,2,0
20251022 08:01:00,4.79,5.05,4.79,4.9575,0,0,2,2,0
20251022 08:02:00,4.98,5,4.88,4.9375,0,0,2,2,0
20251022 08:03:00,4.935,4.96,4.86,4.91,0,0,2,2,0
20251022 08:04:00,4.91,5.06,4.87,4.965,0,0,2,2,0
20251022 08:05:00,4.965,5.24,4.965,5.1425,0,0,2,2,0
20251022 08:06:00,5.145,5.4,5.145,5.3125,0,0,2,2,0
20251022 08:07:00,5.315,5.4,5.22,5.3175,0,0,2,2,0
20251022 08:08:00,5.325,5.45,5.18,5.33,0,0,2,2,2
20251022 08:09:00,5.345,5.43,5.2,5.3375,0,0,2,2,0
20251022 08:10:00,5.36,5.36,5.14,5.245,0,0,2,2,1
20251022 08:11:00,5.27,5.33,5.24,5.28,0,0,2,2,0
20251022 08:12:00,5.275,5.34,5.27,5.3,0,0,2,2,0
20251022 08:13:00,5.295,5.32,5.25,5.2975,0,0,2,2,0
20251022 08:14:00,5.31,5.43,5.31,5.345,0,0,2,2,0
20251022 08:15:00,5.32,5.44,5.26,5.3625,0,0,2,2,0
20251022 08:16:00,5.375,5.44,5.32,5.3825,0,0,2,2,0
20251022 08:17:00,5.385,5.45,5.35,5.3925,0,0,2,2,0
20251022 08:18:00,5.385,5.49,5.37,5.434999,0,0,2,2,0
20251022 08:19:00,5.44,5.55,5.4,5.47,0,0,2,2,2
20251022 08:20:00,5.465,5.465,5.35,5.425,0,0,2,2,1
20251022 08:21:00,5.445,5.46,5.42,5.4425,0,0,2,2,0
20251022 08:22:00,5.445,5.5,5.445,5.47,0,0,2,2,0
20251022 08:23:00,5.465,5.51,5.45,5.4775,0,0,2,2,2
20251022 08:24:00,5.475,5.48,5.42,5.4575,0,0,2,2,0
20251022 08:25:00,5.465,5.49,5.36,5.4325,0,0,2,2,1
20251022 08:26:00,5.44,5.45,5.41,5.4325,0,0,2,2,0
20251022 08:27:00,5.435,5.44,5.4,5.425,0,0,2,2,0
20251022 08:28:00,5.43,5.43,5.38,5.4,0,0,2,2,0
20251022 08:29:00,5.4,5.49,5.39,5.4325,0,0,2,2,2
20251022 08:30:00,5.425,5.46,5.39,5.43,0,0,2,2,0
20251022 08:31:00,5.435,5.435,5.34,5.3775,0,0,2,2,0
20251022 08:32:00,5.375,5.41,5.23,5.345,0,0,2,2,1
20251022 08:33:00,5.37,5.41,5.35,5.3825,0,0,2,2,0
20251022 08:34:00,5.385,5.43,5.38,5.4,0,0,2,2,0
20251022 08:35:00,5.395,5.4,5.37,5.39,0,0,2,2,0
20251022 08:36:00,5.395,5.4,5.38,5.39,0,0,2,2,0
20251022 08:37:00,5.39,5.39,5.37,5.38,0,0,2,2,0
20251022 08:38:00,5.38,5.38,5.34,5.36,0,0,2,2,1
20251022 08:39:00,5.36,5.4,5.36,5.375,0,0,2,2,0
20251022 08:40:00,5.37,5.4,5.37,5.3875,0,0,2,2,0
20251022 08:41:00,5.39,5.5,5.39,5.44,0,0,2,2,2
20251022 08:42:00,5.435,5.5,5.435,5.4675,0,0,2,2,2
20251022 08:43:00,5.465,5.5,5.465,5.485,0,0,2,2,0
20251022 08:44:00,5.485,5.5,5.47,5.4825,0,0,2,2,0
20251022 08:45:00,5.48,5.84,5.48,5.6575,0,0,2,2,0
20251022 08:46:00,5.655,5.9,5.655,5.79,0,0,2,2,0
20251022 08:47:00,5.785,5.95,5.69,5.815,0,0,2,2,0
20251022 08:48:00,5.81,6.01,5.81,5.925,0,0,2,2,0
20251022 08:49:00,5.91,5.99,5.91,5.955,0,0,2,2,0
20251022 08:50:00,5.96,6.26,5.96,6.125,0,0,2,2,0
20251022 08:51:00,6.125,6.38,6.125,6.29,0,0,2,2,0
20251022 08:52:00,6.265,6.27,6.09,6.2175,0,0,2,2,0
20251022 08:53:00,6.255,6.4,6.23,6.3125,0,0,2,2,0
20251022 08:54:00,6.31,6.49,6.31,6.435,0,0,2,2,0
20251022 08:55:00,6.435,6.7,6.4,6.55,0,0,2,2,0
20251022 08:56:00,6.55,6.95,6.55,6.69,0,0,2,2,2
20251022 08:57:00,6.605,6.62,6.28,6.4975,0,0,2,2,1
20251022 08:58:00,6.545,6.73,6.47,6.57,0,0,2,2,0
20251022 08:59:00,6.54,6.62,6.45,6.535,0,0,2,2,0
20251022 09:00:00,6.535,6.535,6.16,6.3575,0,0,2,2,1
20251022 09:01:00,6.385,6.51,6.29,6.400001,0,0,2,2,0
20251022 09:02:00,6.4,6.65,6.4,6.5475,0,0,2,2,2
20251022 09:03:00,6.52,6.55,6.39,6.475,0,0,2,2,0
20251022 09:04:00,6.48,6.5,6.39,6.4275,0,0,2,2,0
20251022 09:05:00,6.41,6.45,6.29,6.3925,0,0,2,2,1
20251022 09:06:00,6.415,6.53,6.415,6.4875,0,0,2,2,0
20251022 09:07:00,6.485,6.53,6.42,6.4825,0,0,2,2,2
20251022 09:08:00,6.49,6.5,6.39,6.45,0,0,2,2,0
20251022 09:09:00,6.455,6.5,6.42,6.455,0,0,2,2,0
20251022 09:10:00,6.45,6.7,6.45,6.57,0,0,2,2,2
20251022 09:11:00,6.565,6.7,6.47,6.6,0,0,2,2,2
20251022 09:12:00,6.615,6.615,6.56,6.5725,0,0,2,2,0
20251022 09:13:00,6.56,6.62,6.56,6.5775,0,0,2,2,0
20251022 09:14:00,6.565,6.95,6.565,6.7425,0,0,2,2,2
20251022 09:15:00,6.725,6.87,6.5,6.7525,0,0,2,2,1
20251022 09:16:00,6.82,6.82,6.66,6.74,0,0,2,2,0
20251022 09:17:00,6.76,7.18,6.74,6.935,0,0,2,2,0
20251022 09:18:00,6.91,7.41,6.91,7.2175,0,0,2,2,0
20251022 09:19:00,7.23,7.61,7.23,7.4725,0,0,2,2,0
20251022 09:20:00,7.495,7.64,7.26,7.4975,0,0,2,2,0
20251022 09:21:00,7.545,7.57,7.29,7.41,0,0,2,2,0
20251022 09:22:00,7.39,7.73,7.31,7.5175,0,0,2,2,0
20251022 09:23:00,7.515,7.84,7.5,7.715,0,0,2,2,0
20251022 09:24:00,7.76,7.95,7.69,7.84,0,0,2,2,0
20251022 09:25:00,7.86,8.56,7.5,8.127501,0,0,2,2,0
20251022 09:26:00,8.225,8.85,8.09,8.477501,0,0,2,2,2
20251022 09:27:00,8.485001,8.71,8.16,8.5,0,0,2,2,0
20251022 09:28:00,8.565001,8.8,8.34,8.575,0,0,2,2,0
20251022 09:29:00,8.58,8.75,8.4,8.54,0,0,2,2,0
20251022 09:30:00,8.505,8.56,8.1,8.405001,0,0,2,2,0
20251022 09:31:00,8.48,8.48,7.88,8.15,0,0,2,2,0
20251022 09:32:00,8.15,8.15,6.62,7.32,0,0,2,2,1
20251022 09:33:00,7.38,7.83,6.83,7.31,0,0,2,2,0
20251022 09:34:00,7.29,7.85,7.29,7.62,0,0,2,2,0
20251022 09:35:00,7.615,7.79,7.49,7.615,0,0,2,2,0
20251022 09:36:00,7.59,8.3,7.59,7.9675,0,0,2,2,2
20251022 09:37:00,7.945,8.23,7.55,7.89,0,0,2,2,0
20251022 09:38:00,7.89,7.91,7.58,7.7175,0,0,2,2,0
20251022 09:39:00,7.69,7.9,7.67,7.81,0,0,2,2,0
20251022 09:40:00,7.835,7.88,7.49,7.7225,0,0,2,2,0
20251022 09:41:00,7.76,7.76,7.54,7.645,0,0,2,2,0
20251022 09:42:00,7.65,7.74,7.32,7.53,0,0,2,2,0
20251022 09:43:00,7.53,7.71,7.32,7.475,0,0,2,2,0
20251022 09:44:00,7.435,7.46,7.15,7.3575,0,0,2,2,0
20251022 09:45:00,7.41,7.41,6.73,7.0575,0,0,2,2,0
20251022 09:46:00,7.06,7.69,6.66,7.095,0,0,2,2,1
20251022 09:47:00,7.015,7.43,7.015,7.34,0,0,2,2,0
20251022 09:48:00,7.325,7.47,7.29,7.375,0,0,2,2,0
20251022 09:49:00,7.37,7.39,7.23,7.3225,0,0,2,2,0
20251022 09:50:00,7.335,7.335,7.13,7.225,0,0,2,2,0
20251022 09:51:00,7.235,7.33,7.15,7.215,0,0,2,2,0
20251022 09:52:00,7.19,7.45,7.06,7.25,0,0,2,2,1
20251022 09:53:00,7.245,7.34,7.18,7.2625,0,0,2,2,0
20251022 09:54:00,7.265,7.32,7.16,7.245,0,0,2,2,0
20251022 09:55:00,7.25,7.45,7.23,7.3075,0,0,2,2,2
20251022 09:56:00,7.275,7.35,7.1,7.2375,0,0,2,2,0
20251022 09:57:00,7.25,7.25,6.89,7.0825,0,0,2,2,1
20251022 09:58:00,7.14,7.25,7.1,7.155,0,0,2,2,0
20251022 09:59:00,7.135,7.18,7.05,7.1125,0,0,2,2,0
20251022 10:00:00,7.11,7.2,7.07,7.115,0,0,2,2,0
20251022 10:01:00,7.095,7.12,7.02,7.0775,0,0,2,2,1
